round,AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,main_acc,main_loss,clean_acc,triggered_acc,asr,malicious_rate,benign_rate,avg_malicious_rate,avg_benign_rate,baseline_client_id,malicious_baseline
0,martfl,single,0.25,False,0.1,True,NonIID,0.5113,1.3532666265487672,0.5178,0.5426,0.1959,1.0,0.7407407407407407,1.0,0.7407407407407407,14,False
1,martfl,single,0.25,False,0.1,True,NonIID,0.5863,1.0484303570747375,0.5951,0.6081,0.0564,1.0,0.5555555555555556,1.0,0.6481481481481481,5,False
2,martfl,single,0.25,False,0.1,True,NonIID,0.7301,0.7108026504039764,0.7424,0.733,0.0883,0.0,0.2222222222222222,0.6666666666666666,0.5061728395061729,7,False
3,martfl,single,0.25,False,0.1,True,NonIID,0.75,0.6730807468891143,0.7597,0.7441,0.0839,0.0,0.25925925925925924,0.5,0.4444444444444445,5,False
4,martfl,single,0.25,False,0.1,True,NonIID,0.7581,0.6261404842376709,0.7713,0.7504,0.0844,0.0,0.2222222222222222,0.4,0.4,7,False
5,martfl,single,0.25,False,0.1,True,NonIID,0.7681,0.6386322326660157,0.7819,0.7629,0.0662,0.0,0.037037037037037035,0.3333333333333333,0.3395061728395062,7,False
6,martfl,single,0.25,False,0.1,True,NonIID,0.7637,0.6264266252517701,0.7685,0.7434,0.1098,0.0,0.037037037037037035,0.2857142857142857,0.29629629629629634,7,False
7,martfl,single,0.25,False,0.1,True,NonIID,0.7902,0.5734272187709808,0.7953,0.7877,0.1004,0.0,0.037037037037037035,0.25,0.26388888888888895,7,False
8,martfl,single,0.25,False,0.1,True,NonIID,0.7851,0.5660679070472717,0.7941,0.7703,0.0966,0.0,0.037037037037037035,0.2222222222222222,0.23868312757201654,7,False
9,martfl,single,0.25,False,0.1,True,NonIID,0.7994,0.5456662133693695,0.8035,0.7883,0.1171,0.0,0.037037037037037035,0.2,0.2185185185185186,7,False
10,martfl,single,0.25,False,0.1,True,NonIID,0.8018,0.5360450161933898,0.8124,0.7773,0.0675,0.0,0.037037037037037035,0.18181818181818182,0.2020202020202021,7,False
11,martfl,single,0.25,False,0.1,True,NonIID,0.7968,0.5515291954994201,0.8064,0.7863,0.0948,0.0,0.037037037037037035,0.16666666666666666,0.1882716049382717,7,False
12,martfl,single,0.25,False,0.1,True,NonIID,0.8027,0.5402121993541718,0.8128,0.7869,0.0935,0.0,0.037037037037037035,0.15384615384615385,0.17663817663817674,7,False
13,martfl,single,0.25,False,0.1,True,NonIID,0.8176,0.5057619077205658,0.8215,0.8063,0.1104,0.0,0.037037037037037035,0.14285714285714285,0.16666666666666677,7,False
14,martfl,single,0.25,False,0.1,True,NonIID,0.8327,0.48671141362190246,0.8372,0.8119,0.0997,0.0,0.037037037037037035,0.13333333333333333,0.1580246913580248,7,False
15,martfl,single,0.25,False,0.1,True,NonIID,0.818,0.5241472755908966,0.8214,0.7856,0.0655,0.0,0.037037037037037035,0.125,0.15046296296296308,7,False
16,martfl,single,0.25,False,0.1,True,NonIID,0.8152,0.5517531937599182,0.8184,0.8019,0.1044,0.0,0.037037037037037035,0.11764705882352941,0.14379084967320274,7,False
17,martfl,single,0.25,False,0.1,True,NonIID,0.8186,0.5437063209533691,0.8266,0.7936,0.0933,0.0,0.037037037037037035,0.1111111111111111,0.13786008230452687,7,False
