AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,MAX_ASR,FINAL_ASR,FINAL_MAIN_ACC,FINAL_CLEAN_ACC,FINAL_TRIGGERED_ACC,ASR_25PCT,ASR_50PCT,ASR_75PCT,ROUNDS_TO_50PCT_ASR,ROUNDS_TO_75PCT_ASR,ROUNDS_TO_90PCT_ASR,AVG_MALICIOUS_RATE,AVG_BENIGN_RATE,ASR_PER_ADV,STEALTH,TOTAL_ROUNDS
martfl,single,0.25,False,0.1,True,NonIID,0.1959,0.0424,0.817,0.8245,0.7884,0.1098,0.0948,0.1044,-1,-1,-1,0.09523809523809523,0.12345679012345682,0.424,0.9924999999999999,21
martfl,single,0.25,False,0.1,False,NonIID,0.2652,0.2446,0.751,0.7656,0.6531,0.1927,0.1678,0.2621,-1,-1,-1,0.7777777777777777,0.603174603174603,2.446,0.9854,21
martfl,single,0.25,False,0.2,True,NonIID,0.3132,0.0974,0.8304,0.8396,0.8229,0.1046,0.1038,0.0838,-1,-1,-1,0.09523809523809523,0.10317460317460314,0.487,0.9908,21
martfl,single,0.25,False,0.2,False,NonIID,0.9272,0.8844,0.7638,0.7748,0.2054,0.4796,0.7495,0.8954,8,10,18,0.9603174603174602,0.5773809523809523,4.422,0.989,21
martfl,single,0.25,False,0.3,True,NonIID,0.9998,0.9805,0.8034,0.8136,0.1166,0.9998,0.9909,0.9869,0,2,2,0.3227513227513227,0.05215419501133786,3.2683333333333335,0.9898,21
martfl,single,0.25,False,0.3,False,NonIID,0.9717,0.9573,0.7792,0.7896,0.1387,0.7246,0.8889,0.9577,0,7,10,0.8743961352657006,0.5403726708074534,3.1910000000000003,0.9896,23
martfl,single,0.25,False,0.4,True,NonIID,1.0,0.9949,0.7931,0.8032,0.1025,0.9995,0.9947,0.9945,0,2,2,0.24999999999999992,0.052910052910052914,2.48725,0.9899,21
martfl,single,0.25,False,0.4,False,NonIID,0.9878,0.9834,0.7753,0.7864,0.1136,0.8879,0.9317,0.9806,0,5,8,0.7753623188405797,0.5483091787439616,2.4585,0.9889,23
martfl,single,0.25,True,0.1,True,NonIID,0.1959,0.0424,0.817,0.8245,0.7884,0.1098,0.0948,0.1044,-1,-1,-1,0.09523809523809523,0.12345679012345682,0.424,0.9924999999999999,21
martfl,single,0.25,True,0.1,False,NonIID,0.2652,0.2446,0.751,0.7656,0.6531,0.1927,0.1678,0.2621,-1,-1,-1,0.7777777777777777,0.603174603174603,2.446,0.9854,21
martfl,single,0.25,True,0.2,True,NonIID,0.3132,0.0974,0.8304,0.8396,0.8229,0.1046,0.1038,0.0838,-1,-1,-1,0.09523809523809523,0.10317460317460314,0.487,0.9908,21
martfl,single,0.25,True,0.2,False,NonIID,0.9272,0.8844,0.7638,0.7748,0.2054,0.4796,0.7495,0.8954,8,10,18,0.9603174603174602,0.5773809523809523,4.422,0.989,21
martfl,single,0.25,True,0.3,True,NonIID,0.9998,0.9805,0.8034,0.8136,0.1166,0.9998,0.9909,0.9869,0,2,2,0.3227513227513227,0.05215419501133786,3.2683333333333335,0.9898,21
martfl,single,0.25,True,0.3,False,NonIID,0.9717,0.9573,0.7792,0.7896,0.1387,0.7246,0.8889,0.9577,0,7,10,0.8743961352657006,0.5403726708074534,3.1910000000000003,0.9896,23
martfl,single,0.25,True,0.4,True,NonIID,1.0,0.9949,0.7931,0.8032,0.1025,0.9995,0.9947,0.9945,0,2,2,0.24999999999999992,0.052910052910052914,2.48725,0.9899,21
martfl,single,0.25,True,0.4,False,NonIID,0.9878,0.9834,0.7753,0.7864,0.1136,0.8879,0.9317,0.9806,0,5,8,0.7753623188405797,0.5483091787439616,2.4585,0.9889,23
martfl,single,0.5,False,0.1,True,NonIID,0.4614,0.0947,0.833,0.8421,0.8204,0.0746,0.0768,0.0814,-1,-1,-1,0.047619047619047616,0.11992945326278662,0.9470000000000001,0.9909,21
martfl,single,0.5,False,0.1,False,NonIID,0.4614,0.2122,0.7798,0.7921,0.7069,0.0898,0.1342,0.1676,-1,-1,-1,0.5217391304347826,0.5587761674718197,2.122,0.9877,23
martfl,single,0.5,False,0.2,True,NonIID,0.6653,0.0955,0.8067,0.8246,0.795,0.0761,0.0929,0.0722,0,-1,-1,0.047619047619047616,0.10119047619047616,0.4775,0.9821,21
martfl,single,0.5,False,0.2,False,NonIID,0.9522,0.9522,0.7677,0.7803,0.1427,0.2037,0.5255,0.9271,0,13,16,0.8095238095238095,0.5515873015873014,4.761,0.9874,21
martfl,single,0.5,False,0.3,True,NonIID,0.9888,0.1013,0.5119,0.5116,0.5004,0.1196,0.1224,0.1032,0,0,0,0.014925373134328358,0.059701492537313425,0.33766666666666667,0.9997,67
martfl,single,0.5,False,0.3,False,NonIID,0.9888,0.969,0.7735,0.7861,0.1267,0.6802,0.8597,0.9537,0,0,0,0.783068783068783,0.5351473922902494,3.23,0.9873999999999999,21
martfl,single,0.5,False,0.4,True,NonIID,1.0,0.0986,0.5136,0.5136,0.505,0.098,0.0956,0.098,0,0,0,0.013285024154589372,0.07568438003220611,0.24649999999999997,1.0,69
martfl,single,0.5,False,0.4,False,NonIID,1.0,0.9855,0.7543,0.7667,0.1112,0.8543,0.9556,0.9887,0,0,0,0.7341269841269841,0.560846560846561,2.46375,0.9875999999999999,21
martfl,single,0.5,True,0.1,True,NonIID,0.4614,0.0947,0.833,0.8421,0.8204,0.0746,0.0768,0.0814,-1,-1,-1,0.047619047619047616,0.11992945326278662,0.9470000000000001,0.9909,21
martfl,single,0.5,True,0.1,False,NonIID,0.4614,0.2122,0.7798,0.7921,0.7069,0.0898,0.1342,0.1676,-1,-1,-1,0.5217391304347826,0.5587761674718197,2.122,0.9877,23
martfl,single,0.5,True,0.2,True,NonIID,0.6653,0.0955,0.8067,0.8246,0.795,0.0761,0.0929,0.0722,0,-1,-1,0.047619047619047616,0.10119047619047616,0.4775,0.9821,21
martfl,single,0.5,True,0.2,False,NonIID,0.9522,0.9522,0.7677,0.7803,0.1427,0.2037,0.5255,0.9271,0,13,16,0.8095238095238095,0.5515873015873014,4.761,0.9874,21
martfl,single,0.5,True,0.3,True,NonIID,0.9888,0.1013,0.5119,0.5116,0.5004,0.1196,0.1224,0.1032,0,0,0,0.014925373134328358,0.059701492537313425,0.33766666666666667,0.9997,67
martfl,single,0.5,True,0.3,False,NonIID,0.9888,0.969,0.7735,0.7861,0.1267,0.6802,0.8597,0.9537,0,0,0,0.783068783068783,0.5351473922902494,3.23,0.9873999999999999,21
martfl,single,0.5,True,0.4,True,NonIID,1.0,0.0986,0.5136,0.5136,0.505,0.098,0.0956,0.098,0,0,0,0.013285024154589372,0.07568438003220611,0.24649999999999997,1.0,69
martfl,single,0.5,True,0.4,False,NonIID,1.0,0.9855,0.7543,0.7667,0.1112,0.8543,0.9556,0.9887,0,0,0,0.7341269841269841,0.560846560846561,2.46375,0.9875999999999999,21
fedavg,single,0.25,False,0.1,False,NonIID,0.2978,0.2978,0.8459,0.855,0.6929,0.1378,0.1702,0.2122,-1,-1,-1,1.0,1.0,2.9779999999999998,0.9909,21
fedavg,single,0.25,False,0.2,False,NonIID,0.8233,0.8233,0.8451,0.8518,0.2661,0.2809,0.4726,0.7123,12,18,-1,1.0,1.0,4.1165,0.9933,21
