round,AGGREGATION_METHOD,ATTACK_METHOD,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,DATA_SPLIT_MODE,TRIGGER_MODE,main_acc,main_loss,clean_acc,triggered_acc,asr,malicious_rate,benign_rate,avg_malicious_rate,avg_benign_rate,baseline_client_id,malicious_baseline,selected_clients,outlier_clients,n_selected_clients
0,martfl,single,0.25,False,0.3,True,dirichlet,static,0.382,1.6511200416564942,0.382,0.3756,0.298,0.1111111111111111,0.42857142857142855,0.1111111111111111,0.42857142857142855,28,False,"[8, 11, 15, 17, 19, 20, 22, 24, 27, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 16, 18, 21, 23, 25, 26, 29]",10
1,martfl,single,0.25,False,0.3,True,dirichlet,static,0.6108,1.12360398311615,0.6108,0.6027,0.1559,0.0,0.2857142857142857,0.05555555555555555,0.3571428571428571,13,False,"[10, 13, 19, 26, 27, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 29]",6
2,martfl,single,0.25,False,0.3,True,dirichlet,static,0.6655,0.8301607436180115,0.6655,0.6657,0.1012,0.0,0.6666666666666666,0.037037037037037035,0.4603174603174603,13,False,"[9, 10, 12, 13, 14, 15, 19, 21, 22, 23, 24, 27, 28, 29]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 16, 17, 18, 20, 25, 26]",14
3,martfl,single,0.25,False,0.3,True,dirichlet,static,0.7154,0.7754987157821656,0.7154,0.7153,0.1108,0.0,0.3333333333333333,0.027777777777777776,0.42857142857142855,24,False,"[10, 12, 13, 19, 24, 27, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 29]",7
4,martfl,single,0.25,False,0.3,True,dirichlet,static,0.695,0.8833583497524261,0.695,0.6753,0.0827,0.0,0.047619047619047616,0.02222222222222222,0.35238095238095235,24,False,[24],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",1
5,martfl,single,0.25,False,0.3,True,dirichlet,static,0.6757,0.9712817286491394,0.6757,0.651,0.0716,0.0,0.047619047619047616,0.018518518518518517,0.30158730158730157,24,False,[24],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",1
6,martfl,single,0.25,False,0.3,True,dirichlet,static,0.7007,0.8925156496524811,0.7007,0.7031,0.0941,0.0,0.047619047619047616,0.015873015873015872,0.2653061224489796,24,False,[24],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",1
7,martfl,single,0.25,False,0.3,True,dirichlet,static,0.7262,0.801890389251709,0.7262,0.7197,0.1005,0.0,0.047619047619047616,0.013888888888888888,0.2380952380952381,24,False,[24],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",1
8,martfl,single,0.25,False,0.3,True,dirichlet,static,0.726,0.7988112090587616,0.726,0.7243,0.1122,0.0,0.047619047619047616,0.012345679012345678,0.21693121693121695,24,False,[24],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",1
9,martfl,single,0.25,False,0.3,True,dirichlet,static,0.7298,0.781084854888916,0.7298,0.7225,0.0897,0.0,0.047619047619047616,0.01111111111111111,0.2,24,False,[24],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]",1
