AGGREGATION_METHOD,ATTACK_METHOD,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,DATA_SPLIT_MODE,TRIGGER_MODE,MAX_ASR,FINAL_ASR,FINAL_MAIN_ACC,FINAL_CLEAN_ACC,FINAL_TRIGGERED_ACC,ASR_25PCT,ASR_50PCT,ASR_75PCT,ROUNDS_TO_50PCT_ASR,ROUNDS_TO_75PCT_ASR,ROUNDS_TO_90PCT_ASR,AVG_MALICIOUS_RATE,AVG_BENIGN_RATE,ASR_PER_ADV,STEALTH,TOTAL_ROUNDS
martfl,single,0.25,False,0.3,True,dirichlet,static,0.298,0.0908,0.7329,0.7329,0.7265,0.0941,0.0166,0.0563,-1,-1,-1,0.005291005291005291,0.12018140589569157,0.3026666666666667,1.0,21
martfl,single,0.25,mimic,0.2,True,dirichlet,static,0.3135,0.0614,0.7325,0.7325,0.7055,0.0948,0.0743,0.0653,-1,-1,-1,0.015873015873015872,0.1468253968253968,0.307,1.0,21
martfl,single,0.25,mimic,0.3,True,dirichlet,static,0.298,0.0908,0.7329,0.7329,0.7265,0.0941,0.0166,0.0563,-1,-1,-1,0.005291005291005291,0.12018140589569157,0.3026666666666667,1.0,21
martfl,single,0.25,False,0.2,True,dirichlet,dynamic,0.3135,0.0858,0.8057,0.8057,0.7582,0.0751,0.0643,0.0881,-1,-1,-1,0.015873015873015872,0.1468253968253968,0.429,1.0,21
martfl,single,0.25,False,0.3,True,dirichlet,dynamic,0.298,0.15,0.6911,0.6911,0.6828,0.0686,0.0832,0.0512,-1,-1,-1,0.005291005291005291,0.12018140589569157,0.5,1.0,21
martfl,single,0.25,mimic,0.2,True,dirichlet,dynamic,0.3135,0.0713,0.734,0.734,0.7042,0.0873,0.0597,0.053,-1,-1,-1,0.015873015873015872,0.1468253968253968,0.3565,1.0,21
martfl,single,0.25,mimic,0.3,True,dirichlet,dynamic,0.298,0.15,0.6911,0.6911,0.6828,0.0686,0.0832,0.0512,-1,-1,-1,0.005291005291005291,0.12018140589569157,0.5,1.0,21
martfl,None,0.25,False,0.2,True,dirichlet,static,0.1234,0.0853,0.7755,0.7755,0.7474,0.0543,0.1081,0.0924,-1,-1,-1,0.0,0.0,0.4265,1.0,51
martfl,None,0.25,False,0.3,True,dirichlet,static,0.1234,0.0853,0.7755,0.7755,0.7474,0.0543,0.1081,0.0924,-1,-1,-1,0.0,0.0,0.2843333333333333,1.0,51
martfl,single,0.25,False,0.2,True,label,static,0.2909,0.0692,0.8259,0.8259,0.7731,0.0862,0.0886,0.0745,-1,-1,-1,0.047619047619047616,0.1369047619047619,0.346,1.0,21
martfl,single,0.25,False,0.3,True,label,static,0.5139,0.1187,0.8152,0.8152,0.8016,0.1084,0.0804,0.0835,0,-1,-1,0.047619047619047616,0.10430839002267571,0.39566666666666667,1.0,21
martfl,single,0.25,mimic,0.2,True,label,static,0.2909,0.0692,0.8259,0.8259,0.7731,0.0862,0.0886,0.0745,-1,-1,-1,0.047619047619047616,0.1369047619047619,0.346,1.0,21
martfl,single,0.25,mimic,0.3,True,label,static,0.5139,0.1187,0.8152,0.8152,0.8016,0.1084,0.0804,0.0835,0,-1,-1,0.047619047619047616,0.10430839002267571,0.39566666666666667,1.0,21
martfl,single,0.25,False,0.2,True,label,dynamic,0.2909,0.1362,0.8162,0.8162,0.7971,0.0391,0.0957,0.0627,-1,-1,-1,0.047619047619047616,0.11904761904761903,0.6809999999999999,1.0,21
martfl,single,0.25,False,0.3,True,label,dynamic,0.5139,0.0438,0.8211,0.8211,0.7673,0.0517,0.067,0.0394,0,-1,-1,0.047619047619047616,0.09297052154195012,0.146,1.0,21
martfl,single,0.25,mimic,0.2,True,label,dynamic,0.2909,0.1362,0.8162,0.8162,0.7971,0.0391,0.0957,0.0627,-1,-1,-1,0.047619047619047616,0.11904761904761903,0.6809999999999999,1.0,21
